date,value
2002-02-28,10332.89000000
2002-03-28,10775.74000000
2002-04-30,10241.18000000
2002-05-31,10106.49000000
2002-06-28,9384.03000000
2002-07-31,8616.94000000
2002-08-30,8654.04000000
2002-09-30,7773.63000000
2002-10-31,8357.32000000
2002-11-29,8846.71000000
2002-12-31,8343.19000000
2003-01-31,8125.07000000
2003-02-28,7972.60000000
2003-03-31,8051.86000000
2003-04-30,8701.97000000
2003-05-30,9218.89000000
2003-06-30,9342.42000000
2003-07-31,9555.19000000
2003-08-29,9770.56000000
2003-09-30,9649.68000000
2003-10-31,10224.52000000
2003-11-28,10352.22000000
2003-12-31,10799.63000000
2004-01-30,11029.20000000
2004-02-27,11172.89000000
2004-03-31,11039.42000000
2004-04-30,10793.66000000
2004-05-28,10926.36000000
2004-06-30,11138.91000000
2004-07-30,10701.65000000
2004-08-31,10719.15000000
2004-09-30,10895.48000000
2004-10-29,11068.95000000
2004-11-30,11568.54000000
2004-12-31,11971.14000000
2005-01-31,11642.57000000
2005-02-28,11863.48000000
2005-03-31,11638.27000000
2005-04-29,11363.52000000
2005-05-31,11787.81000000
2005-06-30,11876.74000000
2005-07-29,12360.81000000
2005-08-31,12217.13000000
2005-09-30,12289.26000000
2005-10-31,12063.24000000
2005-11-30,12521.92000000
2005-12-30,12517.69000000
2006-01-31,12953.63000000
2006-02-28,12922.27000000
2006-03-31,13155.44000000
2006-04-28,13280.93000000
2006-05-31,12841.69000000
2006-06-30,12849.29000000
2006-07-31,12789.67000000
2006-08-31,13062.54000000
2006-09-29,13345.97000000
2006-10-31,13829.07000000
2006-11-30,14116.71000000
2006-12-29,14257.55000000
2007-01-31,14531.92000000
2007-02-28,14271.61000000
2007-03-30,14409.27000000
2007-04-30,14952.35000000
2007-05-31,15462.16000000
2007-06-29,15210.65000000
2007-07-31,14682.66000000
2007-08-31,14847.70000000
2007-09-28,15362.02000000
2007-10-31,15673.36000000
2007-11-30,14932.67000000
2007-12-31,14819.58000000
2008-01-31,13896.65000000
2008-02-29,13455.96000000
2008-03-31,13332.01000000
2008-04-30,13991.12000000
2008-05-30,14260.76000000
2008-06-30,13073.54000000
2008-07-31,12946.89000000
2008-08-29,13124.49000000
2008-09-30,11875.41000000
2008-10-31,9768.64000000
2008-11-28,8945.22000000
2008-12-31,9087.17000000
2009-01-30,8335.64000000
2009-02-27,7473.97000000
2009-03-31,8113.14000000
2009-04-30,8962.96000000
2009-05-29,9408.46000000
2009-06-30,9428.19000000
2009-07-31,10158.61000000
2009-08-31,10512.49000000
2009-09-30,10945.17000000
2009-10-30,10655.73000000
2009-11-30,11249.13000000
2009-12-31,11561.72000000
2010-01-29,11151.23000000
2010-02-26,11512.41000000
2010-03-31,12222.29000000
2010-04-30,12477.32000000
2010-05-28,11466.30000000
2010-06-30,10823.31000000
2010-07-30,11568.57000000
2010-08-31,11001.12000000
2010-09-30,12020.91000000
2010-10-29,12489.09000000
2010-11-30,12541.05000000
2010-12-31,13360.13000000
2011-01-31,13617.53000000
2011-02-28,14072.16000000
2011-03-31,14101.29000000
2011-04-29,14495.43000000
2011-05-31,14287.49000000
2011-06-30,14023.07000000
2011-07-29,13701.74000000
2011-08-31,12856.31000000
2011-09-30,11842.12000000
2011-10-31,13191.07000000
2011-11-30,13101.21000000
2011-12-30,13189.93000000
2012-01-31,13839.11000000
2012-02-29,14400.51000000
2012-03-30,14805.55000000
2012-04-30,14689.85000000
2012-05-31,13740.37000000
2012-06-29,14258.42000000
2012-07-31,14370.33000000
2012-08-31,14680.90000000
2012-09-28,15044.22000000
2012-10-31,14773.10000000
2012-11-30,14848.06000000
2012-12-31,14995.11000000
2013-01-31,15824.32000000
2013-02-28,15993.71000000
2013-03-28,16598.26000000
2013-04-30,16864.43000000
2013-05-31,17212.40000000
2013-06-28,16992.14000000
2013-07-31,17890.61000000
2013-08-30,17352.13000000
2013-09-30,17982.43000000
2013-10-31,18711.92000000
2013-11-29,19201.96000000
2013-12-31,19706.03000000
2014-01-31,19105.24000000
2014-02-28,19946.84000000
2014-03-31,19996.01000000
2014-04-30,19959.84000000
2014-05-30,20348.35000000
2014-06-30,20862.74000000
2014-07-31,20410.81000000
2014-08-29,21233.89000000
2014-09-30,20760.46000000
2014-10-31,21256.74000000
2014-11-28,21731.18000000
2014-12-31,21669.86000000
2015-01-30,21060.44000000
2015-02-27,22212.34000000
2015-03-31,21947.91000000
2015-04-30,22034.30000000
2015-05-29,22259.70000000
2015-06-30,21841.75000000
2015-07-31,22180.07000000
2015-08-31,20802.97000000
2015-09-30,20119.28000000
2015-10-30,21648.51000000
2015-11-30,21658.55000000
2015-12-31,21167.86000000
2016-01-29,19926.10000000
2016-02-29,19864.02000000
2016-03-31,21224.32000000
2016-04-29,21377.07000000
2016-05-31,21695.66000000
2016-06-30,21711.72000000
2016-07-29,22548.74000000
2016-08-31,22562.78000000
2016-09-30,22578.70000000
2016-10-31,22069.35000000
2016-11-30,23009.36000000
2016-12-30,23416.82000000
2017-01-31,23847.34000000
2017-02-28,24636.83000000
2017-03-31,24628.92000000
2017-04-28,24870.56000000
2017-05-31,25043.96000000
2017-06-30,25229.96000000
2017-07-31,25683.30000000
2017-08-31,25658.97000000
2017-09-29,26238.52000000
2017-10-31,26761.79000000
2017-11-30,27498.09000000
2017-12-29,27775.57000000
2018-01-31,29234.87000000
2018-02-28,28030.13000000
2018-03-29,27403.72000000
2018-04-30,27520.59000000
2018-05-31,28225.64000000
2018-06-29,28393.75000000
2018-07-31,29294.76000000
2018-08-31,30274.61000000
2018-09-28,30258.64000000
2018-10-31,27980.94000000
2018-11-30,28448.87000000
2018-12-31,25749.73000000
2019-01-31,27992.41000000
2019-02-28,28902.93000000
2019-03-29,29267.10000000
2019-04-30,30410.01000000
2019-05-31,28369.39000000
2019-06-28,30272.80000000
2019-07-31,30684.82000000
2019-08-30,29925.35000000
2019-09-30,30351.93000000
2019-10-31,30945.65000000
2019-11-29,32025.86000000
2019-12-31,32886.74000000
2020-01-31,32838.17000000
2020-02-28,30125.07000000
2020-03-31,25899.94000000
2020-04-30,29365.49000000
2020-05-29,30927.15000000
2020-06-30,31630.51000000
2020-07-31,33393.39000000
2020-08-31,35807.67000000
2020-09-30,34480.23000000
2020-10-30,33724.82000000
2020-11-30,37839.65000000
2020-12-31,39456.66000000
2021-01-29,39398.57000000
2021-02-26,40508.68000000
2021-03-31,41741.87000000
2021-04-30,43870.07000000
2021-05-31,43966.36000000
2021-06-30,45113.84000000
2021-07-30,45707.99000000
2021-08-31,46979.63000000
2021-09-30,44850.03000000
2021-10-29,47795.09000000
2021-11-30,46936.08000000
2021-12-31,48461.16000000
2022-01-31,45416.47000000
2022-02-28,44259.21000000
2022-03-31,45606.67000000
2022-04-29,41349.41000000
2022-05-31,41084.91000000
2022-06-30,37564.30000000
2022-07-29,41119.59000000
2022-08-31,39560.86000000
2022-09-30,35836.85000000
2022-10-11,35911.76000000
